Is(A),Maintain(S)
2.10,180
2.67,60
3.25,60
3.82,60
4.39,60
4.94,60
5.48,60
6.03,60
6.57,60
7.14,60
7.71,60
8.28,60
8.85,60
9.64,60
10.43,60
11.22,60
12.01,60
11.86,60
11.71,60
11.56,60
11.41,60
10.76,60
10.11,60
9.46,60
8.80,60
