Is(A),Maintain(S)
5.94,180
6.61,60
7.28,60
7.94,60
8.61,60
8.80,60
8.99,60
9.18,60
9.37,60
9.21,60
9.06,60
8.91,60
8.76,60
9.71,60
10.67,60
11.62,60
12.58,60
11.47,60
10.36,60
9.25,60
8.14,60
7.72,60
7.30,60
6.89,60
6.47,60
