Is(A),Maintain(S)
7.63,180
8.83,60
10.04,60
11.24,60
12.45,60
12.68,60
12.91,60
13.14,60
13.37,60
13.31,60
13.25,60
13.19,60
13.14,60
12.56,60
11.97,60
11.39,60
10.81,60
10.78,60
10.75,60
10.71,60
10.68,60
10.34,60
10.00,60
9.66,60
9.32,60
