Is(A),Maintain(S)
6.39,180
7.09,60
7.79,60
8.49,60
9.19,60
9.47,60
9.75,60
10.03,60
10.32,60
10.42,60
10.53,60
10.63,60
10.73,60
11.49,60
12.24,60
12.99,60
13.75,60
12.72,60
11.70,60
10.67,60
9.65,60
9.18,60
8.71,60
8.24,60
7.77,60
