Is(A),Maintain(S)
7.24,180
8.54,60
9.85,60
11.15,60
12.46,60
12.88,60
13.31,60
13.74,60
14.16,60
14.35,60
14.53,60
14.71,60
14.90,60
14.63,60
14.36,60
14.10,60
13.83,60
13.41,60
12.98,60
12.56,60
12.14,60
11.66,60
11.18,60
10.69,60
10.21,60
