Is(A),Maintain(S)
7.87,180
8.90,60
9.93,60
10.96,60
11.99,60
12.22,60
12.45,60
12.68,60
12.90,60
12.90,60
12.90,60
12.91,60
12.91,60
12.77,60
12.64,60
12.51,60
12.38,60
11.51,60
10.63,60
9.76,60
8.88,60
8.61,60
8.34,60
8.07,60
7.81,60
