Is(A),Maintain(S)
6.16,180
7.48,60
8.80,60
10.11,60
11.43,60
11.68,60
11.93,60
12.18,60
12.43,60
11.82,60
11.21,60
10.61,60
10.00,60
9.86,60
9.71,60
9.57,60
9.43,60
8.83,60
8.24,60
7.64,60
7.05,60
6.73,60
6.41,60
6.09,60
5.77,60
