Is(A),Maintain(S)
7.61,180
8.55,60
9.50,60
10.44,60
11.39,60
11.49,60
11.59,60
11.70,60
11.80,60
11.44,60
11.08,60
10.73,60
10.37,60
10.88,60
11.38,60
11.89,60
12.40,60
12.16,60
11.93,60
11.70,60
11.46,60
10.96,60
10.47,60
9.97,60
9.47,60
