Is(A),Maintain(S)
3.93,180
4.09,60
4.26,60
4.43,60
4.60,60
5.36,60
6.13,60
6.90,60
7.67,60
8.16,60
8.65,60
9.15,60
9.64,60
10.77,60
11.90,60
13.03,60
14.15,60
13.56,60
12.96,60
12.36,60
11.76,60
11.08,60
10.41,60
9.73,60
9.05,60
