Is(A),Maintain(S)
3.06,180
5.31,60
7.57,60
9.83,60
12.09,60
11.94,60
11.79,60
11.65,60
11.50,60
11.43,60
11.35,60
11.28,60
11.20,60
11.00,60
10.79,60
10.58,60
10.37,60
9.81,60
9.25,60
8.69,60
8.13,60
8.08,60
8.02,60
7.96,60
7.91,60
