Is(A),Maintain(S)
6.84,180
8.12,60
9.39,60
10.66,60
11.94,60
12.46,60
12.98,60
13.51,60
14.03,60
13.57,60
13.10,60
12.64,60
12.17,60
11.65,60
11.13,60
10.61,60
10.09,60
9.72,60
9.35,60
8.98,60
8.61,60
8.42,60
8.23,60
8.04,60
7.85,60
