Is(A),Maintain(S)
5.39,180
6.96,60
8.53,60
10.10,60
11.67,60
11.25,60
10.83,60
10.41,60
9.98,60
9.91,60
9.83,60
9.75,60
9.68,60
10.31,60
10.94,60
11.57,60
12.21,60
11.95,60
11.69,60
11.44,60
11.18,60
10.50,60
9.82,60
9.14,60
8.46,60
