Is(A),Maintain(S)
5.54,180
6.24,60
6.94,60
7.64,60
8.34,60
8.36,60
8.38,60
8.40,60
8.42,60
8.54,60
8.66,60
8.78,60
8.90,60
10.07,60
11.25,60
12.42,60
13.60,60
12.23,60
10.87,60
9.50,60
8.13,60
7.83,60
7.52,60
7.21,60
6.90,60
