Is(A),Maintain(S)
5.77,180
7.31,60
8.86,60
10.40,60
11.94,60
12.33,60
12.71,60
13.09,60
13.48,60
13.71,60
13.95,60
14.18,60
14.41,60
13.81,60
13.21,60
12.61,60
12.01,60
11.36,60
10.71,60
10.06,60
9.42,60
9.24,60
9.07,60
8.89,60
8.72,60
