Is(A),Maintain(S)
5.33,180
6.95,60
8.57,60
10.19,60
11.82,60
12.23,60
12.64,60
13.06,60
13.47,60
13.71,60
13.95,60
14.18,60
14.42,60
13.55,60
12.69,60
11.82,60
10.95,60
10.20,60
9.46,60
8.71,60
7.96,60
7.59,60
7.21,60
6.84,60
6.47,60
