,plini
LV4.101 EVCS 19 @ LV4.101 Bus 26,0.0
LV4.101 EVCS 12 @ LV4.101 Bus 20,0.0
LV4.101 EVCS 13 @ LV4.101 Bus 14,0.0
LV4.101 EVCS 14 @ LV4.101 Bus 5,0.0
LV4.101 EVCS 28 @ LV4.101 Bus 12,0.0
LV4.101 EVCS 7 @ LV4.101 Bus 34,0.0
LV4.101 EVCS 36 @ LV4.101 Bus 38,0.0
LV4.101 EVCS 29 @ LV4.101 Bus 6,0.0
LV4.101 EVCS 23 @ LV4.101 Bus 24,0.0
LV4.101 EVCS 10 @ LV4.101 Bus 1,0.0
